vectorizer,max_features,ngram_range,model,use_features,f1_score,accuracy,train_time,predict_time
tfidf,20000,"(1, 2)",logreg,True,0.8336210798024236,0.8322538860103627,41.15651345252991,0.8018651008605957
tfidf,20000,"(1, 1)",logreg,True,0.8315172110129297,0.8298987282147904,39.15997552871704,0.517768383026123
tfidf,20000,"(1, 3)",logreg,True,0.8310046697222778,0.8296632124352331,51.480912923812866,1.0476939678192139
tfidf,10000,"(1, 1)",logreg,True,0.8293548620394892,0.8280146019783325,27.924530029296875,0.4492957592010498
tfidf,10000,"(1, 2)",logreg,True,0.8271981099501122,0.8257183231276496,33.62853479385376,0.7397365570068359
tfidf,10000,"(1, 3)",logreg,True,0.8254488693007519,0.8240108337258596,39.13530349731445,1.0042781829833984
tfidf,5000,"(1, 1)",logreg,True,0.8194096809543754,0.8181229392369289,21.70497965812683,0.4096865653991699
tfidf,5000,"(1, 2)",logreg,True,0.817087655830099,0.8157677814413565,28.731093168258667,0.6631221771240234
tfidf,5000,"(1, 3)",logreg,True,0.8166523566300565,0.8151201130475741,33.175601959228516,0.940446138381958
